,Title,Abstract
0,Policy packages as potential routes to urban road pricing in the UK,"This paper focuses on urban road pricing as a demand management policy that is often regarded as radical and generally unacceptable. Road pricing often gets delayed or abandoned due to low acceptability. This may be due to the fact that complex interactions and drivers of change affect road transport management and require cooperation within implementation networks. The implementation network is a group of people (referred to as partners and actors) who co-ordinate the introduction of policy tools. The drivers of change include any internal or external influences that have an effect on the time, place, or ‘shape’ of the policy measures being introduced. Demand management measures that focus on 'sustainable transport' usually address a limited set of objectives and are often implemented alone i.e. are not necessarily combined with other policy measures. When combined with other measures, it is not always clear whether the multiple interactions between policy tools and implementation networks have been sufficiently considered. Examples of ongoing implementation of policy package in the UK are the support of road pricing initiatives combined with public transport improvements by the Transport Innovation Fund. The objectives of the paper are twofold. First, we present a review of the UK urban road pricing situation. Second, we contrast the emerging issues against six key implementation factors. The analysis of three existing UK road pricing examples - London, Edinburgh and Durham – shows the importance of combining policy tools. Furthermore, through the above examples and theoretical arguments, we emphasise the additional need of creating and maintaining strong networks when implementing policy packages"
1,Nitric oxide formation during cortical spreading depression is critical for rapid subsequent recovery of ionic homeostasis,"NoCortical spreading depression (CSD) is a temporary disruption of local ionic homeostasis that propagates slowly across the cerebral cortex. Cortical spreading depression promotes lesion progression in experimental stroke, and may contribute to the initiation of migraine attacks. The purpose of this study was to investigate the roles of the marked increase of nitric oxide (NO) formation that occurs with CSD. Microdialysis electrodes were implanted in the cortex of anesthetized rats to perform the following operations within the same region: (1) elicitation of CSD by perfusion of high K+ medium; (2) recording of CSD elicitation; (3) application of the NO synthase inhibitor, NG-nitro-L-arginine methyl ester (L-NAME); and (4) recording of dialysate pH changes. The primary effect of L-NAME (0.3 to 3.0 mmol/L in the perfusion medium) was a marked widening of individual CSD wave, resulting essentially from a delayed initiation of the repolarization phase. This change was due to NO synthase inhibition because it was not observed with the inactive isomer D-NAME, and was reversed by L-arginine. This effect did not appear to be linked to the suppression of a sustained, NO-mediated vascular change associated with the superposition of NO synthase inhibition on high levels of extracellular K+. The delayed initiation of repolarization with local NO synthase inhibition may reflect the suppression of NO-mediated negative feedback mechanisms acting on neuronal or glial processes involved in CSD genesis. However, the possible abrogation of a very brief, NO-mediated vascular change associated with the early phase of CSD cannot be ruled out"
2,"MMP-10 is overexpressed, proteolytically active and a potential target for therapeutic intervention in human lung carcinomas","NoMatrix metalloproteinase (MMP)-mediated degradation of the extracellular matrix is a major factor for tumor development and expansion. This study analysed MMP-10 protein expression and activity in human lung tumors of various grade, stage, and type to address the relationship between MMP-10 and tumor characteristics and to evaluate MMP-10 as a therapeutic target in non small cell lung carcinoma (NSCLC). Unlike the majority of MMPs, MMP-10 was located in the tumor mass as opposed to tumor stroma. MMP-10 protein was observed at low levels in normal human lung tissues and at significantly higher levels in all types of NSCLC. No correlation was observed between MMP-10 protein expression and tumor type, stage, or lymph node invasion. To discriminate between active and inactive forms of MMP-10 in samples of human NSCLC, we have developed an ex vivo fluorescent assay. Measurable MMP-10 activity was detected in 42 of 50 specimens of lung cancer and only 2 of 10 specimens of histologically normal lung tissue. No relationship was observed between MMP-10 activity levels and clinicopathologic characteristics. Our results suggest that MMP-10 is expressed and active at high levels in human NSCLC compared to normal lung tissues, and, as such, is a potential target for the development of novel therapeutics for lung cancer treatment"
3,Beacons of Excellence in Stress Prevention,"NoThis report describes the work of Robertson Cooper Ltd and UMIST to identify good practice in stress
prevention and then identify organisations within the UK that could be called beacons of excellence in
comparison to this model. Part one of this report summarises and draws conclusions from all of the
substantive academic studies on stress prevention over the last decade and uses this information, as
well as advice gained from a panel of international experts, to develop a comprehensive stress
prevention model. Part two of the report uses this model to describe examples of stress prevention
practices that Robertson Cooper Ltd has identified within a wide range of UK organisations. Case
studies are presented for each aspect of the good practice model. Examples of real documentation and
organisational practice are presented.Health and Safety Executive (HSE"
4,"The use of biomedicine, complementary and alternative medicine, and ethnomedicine for the treatment of epilepsy among people of South Asian origin in the UK","Studies have shown that a significant proportion of people with epilepsy use complementary and alternative medicine (CAM). CAM use is known to vary between different ethnic groups and cultural contexts; however, little attention has been devoted to inter-ethnic differences within the UK population. We studied the use of biomedicine, complementary and alternative medicine, and ethnomedicine in a sample of people with epilepsy of South Asian origin living in the north of England.
Interviews were conducted with 30 people of South Asian origin and 16 carers drawn from a sampling frame of patients over 18 years old with epilepsy, compiled from epilepsy registers and hospital databases. All interviews were tape-recorded, translated if required and transcribed. A framework approach was adopted to analyse the data.
All those interviewed were taking conventional anti-epileptic drugs. Most had also sought help from traditional South Asian practitioners, but only two people had tried conventional CAM. Decisions to consult a traditional healer were taken by families rather than by individuals with epilepsy. Those who made the decision to consult a traditional healer were usually older family members and their motivations and perceptions of safety and efficacy often differed from those of the recipients of the treatment. No-one had discussed the use of traditional therapies with their doctor. The patterns observed in the UK mirrored those reported among people with epilepsy in India and Pakistan.
The health care-seeking behaviour of study participants, although mainly confined within the ethnomedicine sector, shared much in common with that of people who use global CAM. The appeal of traditional therapies lay in their religious and moral legitimacy within the South Asian community, especially to the older generation who were disproportionately influential in the determination of treatment choices. As a second generation made up of people of Pakistani origin born in the UK reach the age when they are the influential decision makers in their families, resort to traditional therapies may decline. People had long experience of navigating plural systems of health care and avoided potential conflict by maintaining strict separation between different sectors. Health care practitioners need to approach these issues with sensitivity and to regard traditional healers as potential allies, rather than competitors or quacks"
5,Increasing the frequency of hand washing by healthcare workers does not lead to commensurate reductions in staphylococcal infection in a hospital ward,"Hand hygiene is generally considered to be the most important measure that can be applied to prevent the spread of healthcare-associated infection (HAI). Continuous emphasis on this intervention has lead to the widespread opinion that HAI rates can be greatly reduced by increased hand hygiene compliance alone. However, this assumes that the effectiveness of hand hygiene is not constrained by other factors and that improved compliance in excess of a given level, in itself, will result in a commensurate reduction in the incidence of HAI. However, several researchers have found the law of diminishing returns to apply to hand hygiene, with the greatest benefits occurring in the first 20% or so of compliance, and others have demonstrated that poor cohorting of nursing staff profoundly influences the effectiveness of hand hygiene measures. Collectively, these findings raise intriguing questions about the extent to which increasing compliance alone can further reduce rates of HAI. 
In order to investigate these issues further, we constructed a deterministic Ross-Macdonald model and applied it to a hypothetical general medical ward. In this model the transmission of staphylococcal infection was assumed to occur after contact with the transiently colonized hands of HCWs, who, in turn, acquire contamination only by touching colonized patients. The aim of the study was to evaluate the impact of imperfect hand cleansing on the transmission of staphylococcal infection and to identify, whether there is a limit, above which further hand hygiene compliance is unlikely to be of benefit.
The model demonstrated that if transmission is solely via the hands of HCWs, it should, under most circumstances, be possible to prevent outbreaks of staphylococcal infection from occurring at a hand cleansing frequencies <50%, even with imperfect hand hygiene. The analysis also indicated that the relationship between hand cleansing efficacy and frequency is not linear - as efficacy decreases, so the hand cleansing frequency required to ensure R0<1 increases disproportionately.
Although our study confirmed hand hygiene to be an effective control measure, it demonstrated that the law of diminishing returns applies, with the greatest benefit derived from the first 20% or so of compliance. Indeed, our analysis suggests that there is little benefit to be accrued from very high levels of hand cleansing and that in most situations compliance >40% should be enough to prevent outbreaks of staphylococcal infection occurring, if transmission is solely via the hands of HCWs. Furthermore we identified a non-linear relationship between hand cleansing efficacy and frequency, suggesting that it is important to maximise the efficacy of the hand cleansing process"
6,Functional evidence for cone-specific connectivity in the human retina,"NoPhysiological studies of colour vision have not yet resolved the controversial issue of how chromatic opponency is constructed at a neuronal level. Two competing theories, the cone-selective hypothesis and the random-wiring hypothesis, are currently equivocal to the architecture of the primate retina. In central vision, both schemes are capable of producing colour opponency due to the fact that receptive field centres receive input from a single bipolar cell ¿ the so called `private line arrangement¿. However, in peripheral vision this single-cone input to the receptive field centre is lost, so that any random cone connectivity would result in a predictable reduction in the quality of colour vision. Behavioural studies thus far have indeed suggested a selective loss of chromatic sensitivity in peripheral vision. We investigated chromatic sensitivity as a function of eccentricity for the cardinal chromatic (L/M and S/(L + M)) and achromatic (L + M) pathways, adopting stimulus size as the critical variable. Results show that performance can be equated across the visual field simply by a change of scale (size). In other words, there exists no qualitative loss of chromatic sensitivity across the visual field. Critically, however, the quantitative nature of size dependency for each of the cardinal chromatic and achromatic mechanisms is very specific, reinforcing their independence in terms of anatomy and genetics. Our data provide clear evidence for a physiological model of primate colour vision that retains chromatic quality in peripheral vision, thus supporting the cone-selective hypothesis"
7,The Chittagong story: studies on the ecology of rat floods and bamboo masting,"Rodent population outbreaks due to the 50-year cycle of gregarious flowering and seed masting of Melocanna baccifera were first noted in the Chittagong Hill Tracts (CHT) of Bangladesh during the crop production cycle of 2008. The wave of flowering has steadily moved southward through the region each year, with seed masting still occurring in some areas of the CHT during 2010. Because of

a lack of surveillance, it is not yet known whether all Melocanna bamboo forests across the region have now initiated flowering. Ecological surveys carried out

during the masting event have provided some preliminary evidence that nearly all rodent species are able to exploit Melocanna bamboo seeds as a food resource, with nearly 30% of the seed fallen in forests damaged by rodents.

Breeding potential of the predominant species found, Rattus rattus, appears to confirm that aseasonal breeding occurs due to the abundant supply of bamboo seed during masting events. These preliminary results obtained from ongoing

research surveys are discussed in the context of the management response to the regional famine triggered by the severe crop damage caused by rodent population outbreaks"
8,Rodent outbreaks: an age-old issue with a modern appraisal,None
9,Mass-screening techniques for the early selection of disease resistance in chickpea (Cicer arietinum),"Host plant resistance offers the most sustainable and effective disease management option to combat diseases in chickpea. In this chapter, we briefly describe the distribution, economic importance and symptoms of the most important diseases of chickpea including Ascochyta blight, Botrytis grey mould, Fusarium wilt, dry root rot, collar rot, black root rot and stem rot. Screening methods developed by different research institutes to select  germplasm and breeding lines resistant against these diseases are reviewed. A variety of field, greenhouse, growth room and laboratory screening techniques along with disease rating scale to facilitate the identification of resistant breeding material are discussed in detail. Coloured illustrations for each technique are provided as well as extensive lists of available resistant sources against all diseases. For the selection of sources of resistance to various diseases in chickpea, and for breeding high yielding cultivars with improved levels of resistance, this chapter describes current techniques for the simultaneous screening of a large number of chickpea

plants"
